,Primary_Root_3DAS,Topmost_Leaf_V3,Stem_and_SAM_V3,Immature_Tassel_V13,Meiotic_Tassel_V18,Anthers_R1,Immature_Cob_V18,Whole_Seed_12DAP,Endosperm_12DAP,Seminal_Roots_7DAS,Crown_Roots_Nodes1-3_V7,Brace_Roots_Node6_V13,Shoot_Tip_V5,Silks_R1,Whole_Seed_10DAP,Endosperm_18DAP,Embryo_18DAP,Root_MZ_and_EZ_3DAS,Root_DZ_3DAS,Root_CP_3DAS,Root_Stele_3DAS,Primary_Root_GH_6DAS,Root_System_7DAS,Primary_Root_7DAS,Primary_Root_Z1_7DAS,Primary_Root_Z2_7DAS,Primary_Root_Z3_7DAS,Primary_Root_Z4_7DAS,Crown_Roots_Node4_V7,Crown_Roots_Node5_V7,Crown_Roots_Node5_V13,Coleoptile_GH_6DAS,Pooled_Leaves_V1,Tip_Stage2_Leaf_V5,Base_Stage2_Leaf_V5,Tip_Stage2_Leaf_V7,Base_Stage2_Leaf_V7,Eighth_Leaf_V9,Eleventh_Leaf_V9,Thirteenth_Leaf_V9,Immature_Leaves_V9,Thirteenth_Leaf_VT,Thirteenth_Leaf_R2,Leaf_0DAP,Leaf_6DAP,Leaf_12DAP,Leaf_18DAP,Leaf_24DAP,Leaf_30DAP,Stem_and_SAM_V1,First_Internode_V5,Fourth_Internode_V9,Internode_0DAP,Internode_6DAP,Internode_12DAP,Internode_18DAP,Internode_24DAP,Internode_30DAP,Pre-pollination_Cob_R1,Whole_Seed_2DAP,Whole_Seed_4DAP,Whole_Seed_6DAP,Whole_Seed_8DAP,Whole_Seed_14DAP,Whole_Seed_16DAP,Whole_Seed_18DAP,Whole_Seed_20DAP,Whole_Seed_22DAP,Whole_Seed_24DAP,Endosperm_14DAP,Endosperm_16DAP,Endosperm_20DAP,Endosperm_22DAP,Endosperm_24DAP,Embryo_16DAP_R1,Embryo_20DAP,Embryo_22DAP,Embryo_24DAP,Pericarp_18DAP
MLKp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLKp2,0,0,19.34,3.19,1.52,0,11.39,0,0.94,0,0,0.97,3.95,0,0,0,17.82,0,0,0,0,5.36,0,0.57,2.63,2.21,0,0,0,2.65,1.21,14.46,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,10.87,0,9,5.58,0,0,13.81,0,0,7.16,7.12,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,37.63,3.45,4.07,0,0
MLKp3,3.77,0,12.76,11.31,1.99,11.49,11.49,6.1,17.85,3.89,3.82,5.26,12.49,1.51,5.19,5.69,15.6,10.72,3.11,2.05,5.44,9.09,4.8,3.9,10.76,10.65,4.93,0.63,5.44,7.32,2.98,9.94,0,0,2.44,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,16.06,5.06,8.94,0.33,0,1.55,0.89,1.2,1.42,9.91,8.21,7.65,4.49,3.19,14.63,2.48,5.59,4.67,4.89,5.33,19.36,5.14,0,0,0,27.72,19.22,12.38,8.53,0
MLKp4,12.8,2.42,81.04,100.47,4.88,0,98.92,33.25,71.31,17.28,6.62,8.66,94.63,4.46,19.82,59.74,243.06,27.2,7.92,2.92,7.31,25.11,15.19,14.62,28.13,25.92,17.6,1.61,10.53,15.65,10.25,68.65,0,0,19.83,0,72.98,0,0,0,9.21,0,0,0,0,0,0,0,0,95.83,25.81,82.47,3.08,0,0,0.93,0.54,0,91.38,79.34,54.63,20.11,17,35.91,37.22,48.72,42.19,45.43,32.39,46.92,66.02,39.86,31.48,19.09,400.23,184.04,180.93,102.28,3.42
MLKp5,21.56,10,11.29,17.91,40.66,9.82,19.19,24.19,14.63,35.98,20.88,6.4,16.88,10.27,25.57,26.01,4.22,1.78,26.45,18.36,61.86,9.96,45.21,51.99,2.93,32.5,28.03,63.09,24.09,19.46,18.04,8.11,7.51,7.64,16.41,11.08,11.24,9.02,12.74,17.52,30.2,5.92,18.91,18.4,16.58,14.46,19.66,47.32,98.24,9.68,15.64,9.95,15.41,15.39,13.96,15.26,17.99,21.99,15.86,14.09,12.37,24.43,19.09,19.78,25.05,24.6,31.6,34.3,33.85,14.93,20.86,39.42,48.33,42.12,2,3.5,5.92,5.68,32.02
MLKp6,103.24,48.44,74.67,76.31,56.4,47.63,43.77,95.42,150.15,79.95,96.2,122.35,69.16,253.97,95.88,123.95,115.47,201.73,63.89,85.58,49.15,131.03,82.28,76.19,193.81,60.31,93.88,78.86,83.09,100.98,93.38,167.91,46.31,37.45,88.17,44.62,57.65,59.3,53.67,37.86,53.07,82.74,70.03,50.8,72.95,78.65,104.82,61.66,77.34,88.49,59.9,70.13,67.01,66.61,90.1,76.08,67.79,86.42,112.52,99.57,118.77,82.27,92.57,135.34,122.05,108.89,89.82,82.85,93.15,195.93,135.88,88.92,74.22,73.16,121.02,103.76,101.31,142.65,123.41
MLKp7,77.42,40.64,52.9,82.32,52.14,36.53,64.29,95.32,148.47,60.62,63.04,99.21,69.43,86.77,63.55,159.27,93.78,119.52,54.39,70.09,54.25,68.94,58.6,59.33,118.31,62.82,73.67,71.05,70.57,68.88,85.01,97.57,30.12,34.44,63.09,40.47,88.06,51.43,43.92,47.46,49.45,47.41,63.97,38.91,70.37,43.87,53.06,64.48,45.8,69.9,47.67,81.05,46.93,65.29,59.45,59.97,54.15,71.29,80.89,69.46,74.07,54.39,56.86,119.04,125.42,121.11,86.26,81.11,82.58,163.58,203.77,95.45,82.14,68.75,101.04,101.85,94.64,108.28,65.83
MLKp8,27.76,23.01,15.04,19.79,52.14,34.96,26.95,44.96,21.4,42.92,33.88,10.41,16.84,11.64,35.25,36.33,10.2,5.8,34.68,29.69,88.52,19.68,49.38,55.51,5.43,28.96,31.92,66.81,29.5,26.23,28.76,9.91,25.68,18.25,22.84,23,16.3,17.75,32.13,30.2,35.9,18.59,12.01,21.51,23.32,25.91,16.74,37.91,102.65,13.66,20.34,11.49,24.52,18.67,27.72,27.08,30.3,20.65,25.86,20.36,22.49,28.75,30.83,42.3,42.71,39.71,39.68,40.97,45.53,29.91,34.23,35.61,38.64,47.81,10.47,10.04,11.35,11.55,49.76
MLKt1,50.77,53.74,77.7,87.99,70.78,66.82,81.33,94.59,136.52,47.94,54.98,84.86,86.43,62.93,77.63,82.89,70.26,94.83,43.38,48.56,39.84,50.1,59.86,67.31,97.65,51.41,68.67,67.98,75.43,67.33,66.42,88.81,51,47.03,63.85,45.63,73.9,26.26,33.96,37.84,61.72,46.42,52.33,32.08,55.91,67.66,44.77,42.67,57.19,79.39,80.74,57.24,55.26,58.19,66.77,78.83,72.9,66.17,73.47,70.08,71.26,64.53,66.79,116.09,103.03,86.44,78.38,96.68,136.56,133.85,104.29,95.15,105.35,132.43,76.24,68.39,94.97,98.43,76.32
MLKt2,45.08,24.64,50.8,54.75,38.24,28.99,51,33.26,38.97,40.11,36.95,55.57,56.14,58.54,41.67,66.08,62.98,78.78,29.43,34.57,38.89,50.6,36.71,36.79,76.17,38.13,40.7,31.48,41.84,37.96,47.01,73.72,21.94,21.46,54.86,17.97,66.8,20.77,26.21,32.84,47.8,23.46,32.5,22.1,23.86,25.17,28.8,27.36,31.98,59.87,53.12,66.96,45.77,43.95,43.11,48.02,46.23,50.62,66.11,55.67,56.94,43.56,43.4,41.63,53.99,58.15,62.73,77.67,73.82,46.21,60.83,64.45,86.97,63.34,49.68,78.29,91.15,103.43,41.11
